"","title","movieInfo","point","review"
"26","남자사용설명서","https://movie.naver.com/movie/point/af/list.nhn?&page=3?st=mcode&sword=93035&target=after","10","두번째 봅니다. 재밌어요!! 짱짱 "
"27","타오르는 여인의 초상","https://movie.naver.com/movie/point/af/list.nhn?&page=3?st=mcode&sword=185282&target=after","9","나중이 아닌, ""바로 지금"" 돌아봐야만 했던 오르페우스.어쩌면 어리석기 짝이 없는 선택이인생에서 가장 강렬하게 타오르는 순간으로 기록되기도 한다. "
"28","U-571","https://movie.naver.com/movie/point/af/list.nhn?&page=3?st=mcode&sword=29146&target=after","10","처음부터 긴장의 연속 꿀잼 "
"29","일대종사","https://movie.naver.com/movie/point/af/list.nhn?&page=3?st=mcode&sword=49501&target=after","7","왕자웨이 팬이라 My blueberry night 빼곤 다 봤지만 일대종사는 기대에 못 미친 유일한 작품이다. 왕자웨이의 전작들과 달리 역사적 사실에 기반을 둔 작품이라면 내러티브가 촘촘해야하는데 멋진 연기와 대사, 화려한 액션에도 불구하고 다소 허술한 이야기구조가 아쉽다. "
"30","사라진 시간","https://movie.naver.com/movie/point/af/list.nhn?&page=3?st=mcode&sword=179894&target=after","4","사라진 결말? 조진웅 연기는 볼만 "
"31","나는 내일, 어제의 너와 만난다","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=157178&target=after","5","나머지5점은 내일 어제의 너와 만난 다음날줄게.. "
"32","괴물들","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=157011&target=after","1","최악의 최악의 최악의 최악 왜 만들었는지 전혀 모르겠고 쪽가위로 찔린 놈도 왜 찔려야 하는지 영화 안에서 충분히 풀어내지 못한것같다.마지막에 주인공 죽일거면 죽여서 나름 교훈이라도 보여주지 왜 굳이 살려서 더 기분만 더럽게 만들었는지 이해가 안된다. "
"33","그것만이 내 세상","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=158180&target=after","10","간만에 마음에 드는 영화를 봤어요. "
"34","용서는 없다","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=52420&target=after","2","시작부터 잘못된 영화. 다른 사람의 신체를 붙여놨는데 부검의가이걸 못알아본다? 거 설정이 너무한거 아니오. 자극적인 설정을 위해 개연성을 안드로메다로 보내버림 "
"35","우리들의 일그러진 영웅","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=12297&target=after","10","1950년대부터 1980년대 말까지 격동의 굴곡진 대한민국 현대사를 관통하면서 이를 초등학교 학급에 그대로 농축하여 담아낸 걸작이다. 이 작품은 아마도 1980년대를 넘어 2021년인 현재 오늘날까지 여전히 관통해 나아가고 있지않을까.  원작소설인 이문열의 <<우리들의 일그러진 영웅>>은 그래서 한국 문학사에서 매우 의미있고 중요한 작품이다. "
"36","미나리","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=187310&target=after","10","잔잔하게 울림이 있네요. 결말이 아쉽긴 했지만 계속 떠올라서 생각해보니 마지막에 이사 첫날처럼 가족이 거실에서 잠들거나 어디에서든 잘 자라는 미나리처럼 당시의 고난에도 힘겨워 할 겨를 없이 먹고 살기 위해 항상 처음처럼 일어나야했던 이민자의 모습을 표현한거 같아요. 음악도 뭔가 옛감성을 잘 담고 있구요. "
"37","해치지않아","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=180025&target=after","10","넷플에서 봤는데 간단하게 볼 만 해요 재밌어요 "
"38","낙원의 밤","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=189050&target=after","10","오래간만에 좋은 영화 봤네요 "
"39","낙원의 밤","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=189050&target=after","10","오래간만에 좋은 영화 봤네요 "
"40","세자매","https://movie.naver.com/movie/point/af/list.nhn?&page=4?st=mcode&sword=193328&target=after","10","정말 좋은 영화네요 이제라도 봐서 다행이에요 "
"41","내일의 기억","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=185293&target=after","8","내일의 기억, 내 일의 기억 "
"42","50가지 그림자: 해방","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=154598&target=after","10","최고입니다 감동했습니다... "
"43","몬태나","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=158628&target=after","8","인생은 고뇌의 연속이다 "
"44","살인의 추억","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=35901&target=after","10",""
"45","모탈 컴뱃","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=202925&target=after","10","ㅠㅠ.. 이걸보고 울수있다니 내인생은.행복해 정말.. "
"46","비긴 어게인","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=96379&target=after","10","내가 음악을 사랑하는 이유.""왜 청춘에게 청춘은 주어지지 않을까""무수한 방황과 고민 끝에 답을 쥐어준 영화.엉망이어도 괜찮으니까, 다시 한 번 비긴 어게인. "
"47","나이트메어 서커스","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=194809&target=after","4","이런 이상한 옴니버스식의 영화보다는..음제대로 된 공포영화 보는게 나음...이건 뭐...죽도 밥도 아님..감독이 원하는 건 많은데 본인 역량으로는 안된 느낌이랄까 "
"48","자산어보","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=189075&target=after","8","쉽지만 가볍지 않은, 이준익 감독다운 영화였습니다. 담백하면서도 여운이 긴 수묵화 같은 영화입니다. 배우들 연기도 거의 흠잡을데없이 좋았습니다. 추천. 꼭 보세요. "
"49","낙원의 밤","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=189050&target=after","9","잔인하면서 몰입감 있는 영화. 엄태구의 특이한 매력이 돋보인다. 자장면에 단무지, 물회 먹고 싶다. "
"50","낙원의 밤","https://movie.naver.com/movie/point/af/list.nhn?&page=5?st=mcode&sword=189050&target=after","1",""
"51","판도라의 상자","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=18674&target=after","10",""
"52","세자매","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=193328&target=after","8","거칠지만 섬세한 영화답답했지만 마지막에 그래도 좀 풀리는 영화 "
"53","모탈 컴뱃","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=202925&target=after","2","995 모탈컴뱃은 원작에 대한 존중이 있고 진짜 똑같았는데 이건 뭐 그냥 보면 뭔 영화인가 "
"54","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=196051&target=after","8","좀 지루했어도 재밋음 ㅎㅎ "
"55","타이타닉","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=18847&target=after","10","언제 봐도 다시 감동이네요 "
"56","낙원의 밤","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=189050&target=after","10","헉. 너무 잼있게 봤다. 마지막 장면은 세번 돌려봤다. 차승원 찐팬됐네. "
"57","기생충","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=161967&target=after","9","표현할 수 없는 감상평그냥. 뭐랄까.모르겠다. "
"58","이프 온리","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=39440&target=after","10","후회가 너무 많이 가는 영화 "
"59","마이애미 바이스","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=57950&target=after","6","엉성&겉멋 이런게 먹히던 시절도 있었지 "
"60","악인전","https://movie.naver.com/movie/point/af/list.nhn?&page=6?st=mcode&sword=177967&target=after","10","흔하디 흔한 이런 장르에서 지루할틈 없이 끝까지 재밌게 봤던 영화임 ㅋㅋㅋㅋ "
"61","세자매","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=193328&target=after","10","울었습니다 ㅠㅠ 마지막 음악도 감동이네요 "
"62","미 비포 유","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=137915&target=after","4","슬프긴한디 별로임.. "
"63","비와 당신의 이야기","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=192620&target=after","7","천우희 강하늘 두 배우 때문에 봤는데 스토리도 지루하고 전개도 별로였고 영화를 봤는데도 누가 여주인지 모르겠는 영화.. 강소라는 특출이 아니라 그냥 주연 수준으로 많이 나오던데 천우희랑 분량이 비슷했음.. 반전을 보니 결말에 너무 화가 났고 왜 안만나고 끝나는건지도 모르겠고 개연성이 너무 없었다. 애초에 스토리를 잘못 잡은 거 아닌가 생각했을정도.. 마지막에 여운을 줄려고 끝낸 거 같은데 전혀 여운이 안 남았다. 공짜 쿠폰으로 보길 잘한 영화였다. "
"64","맨 인 더 다크","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=144944&target=after","8","별 두개 뺀 이유는 무단침입 한 새기덜이 넘 맘에 안 들고 결말도 개똥 같아서 맘에 안 듦주인공들 진짜 오래 산다 알렉슨가 그 놈도 너무 오래 살고 여자도 너무 오래 산다 개빡치는게 범죄 저질러놓고 지 행복하려고 엘에이로 떠나는 스토리도 맘에 안 듦 흰머리 아저씨 너무 불쌍 "
"65","킹덤","https://movie.naver.com/movie/point/af/list.nhn?&page=7?st=mcode&sword=184308&target=after","2","남주의 발연기. 최악의 연출 "
